scenario_id,strategy,fact_recall,tone_alignment,professional_quality
s01,strategy_a,0.6667,1.0,0.8667
s02,strategy_a,0.6667,1.0,0.7333
s03,strategy_a,0.6667,1.0,0.8667
s04,strategy_a,1.0,1.0,0.8667
s05,strategy_a,1.0,1.0,0.8667
s06,strategy_a,0.6667,1.0,0.8667
s07,strategy_a,1.0,1.0,0.8667
s08,strategy_a,1.0,1.0,0.8667
s09,strategy_a,0.3333,1.0,0.8667
s10,strategy_a,1.0,1.0,0.8667
s01,strategy_b,0.6667,1.0,0.8667
s02,strategy_b,1.0,1.0,0.8667
s03,strategy_b,0.6667,0.75,0.8667
s04,strategy_b,0.6667,1.0,0.8667
s05,strategy_b,0.6667,1.0,0.8667
s06,strategy_b,0.0,1.0,0.8667
s07,strategy_b,1.0,1.0,0.8667
s08,strategy_b,0.6667,1.0,0.8667
s09,strategy_b,1.0,1.0,0.8667
s10,strategy_b,1.0,1.0,0.8667
